line,OE,ME
1462,sé ðe gryresíðas             gegán dorste,"he who terrifying journeys             dared to enter upon,"
1463,folcstede fára·             næs þæt forma síð,the domain of foes;             it was not the first time
1464,þæt hit ellenweorc             æfnan scolde.,that it courage-work             had been obliged to perform.
1465,Húru ne gemunde             mago Ecgláfes,"Indeed he could not have recalled,             the kin of Ecgelaf,"
1466,eafoþes cræftig             þæt hé aér gespræc,"mighty in strength,             that which he had said before,"
1467,wíne druncen             þá hé þæs waépnes onláh,"drunk on wine,             when he lent that the weapon"
1468,sélran sweordfrecan             selfa ne dorste,"to a better swordsman,             he himself did not dare"
1469,"under ýða gewin             aldre genéþan,","under the waves' turmoil             to risk his life,"
1470,drihtscype dréogan·             þaér hé dóme forléas,"to carry out bravery;             there he forfeited glory,"
1471,ellenmaérðum·             ne wæs þaém óðrum swá     ,"fame from valour;             it was not so for the        other,"
1472,syðþan hé hine tó gúðe             gegyred hæfde.,when he himself for war             had equipped.
1473,Béowulf maðelode             bearn Ecgþéowes:,"Beowulf spoke,             the son of Edgetheow:"
1474,"'Geþenc nú, se maéra             maga Healfdenes","'Think now, glorious             kinsman of Half-Dane,"
1475,snottra fengel·             nú ic eom síðes fús·,"wise chieftain,             now I am eager for the adventure,"
1476,"goldwine gumena,             hwæt wit géo spraécon:","gold-friend of man,             what we spoke of earlier:"
1477,gif ic æt þearfe             þínre scolde,if I in employment             of yours should
1478,aldre linnan·             þæt ðú mé á waére,"be parted from life,             that you for me ever would be,"
1479,forðgewitenum             on fæder staéle·,"having passed on,             in the place of a father;"
1480,wes þú mundbora mínum             magoþegnum,"be you hand-bearer to my      young        retainers,"
1481,hondgesellum             gif mec hild nime,"hand-companions,             if battle takes me,"
1482,"swylce þú ðá mádmas,             þé þú mé sealdest,","so too you the treasures,             those which you gave me,"
1483,"Hróðgár léofa,             Higeláce onsend·","beloved Hrothgar,             send on to Hygelac;"
1484,"mæg þonne on þaém golde ongitan             Géata dryhten,","he then will able to in the gold        observe,      the lord of the Geats,"
1485,geséon sunu Hraédles             þonne hé on þæt sinc starað,"to perceive, the son of Hrethel,             when he on that treasures stares,"
1486,þæt ic gumcystum             gódne funde,"that I one of noble virtues,             a good king, had found,"
1487,béaga bryttan             bréac þonne móste.,"dispenser of rings,             enjoyed while I could."
1488,Ond þú Hunferð laét             ealde láfe,"And let Unferth             the old heirloom,"
1489,wraétlíc waégsweord             wídcúðne man,"the glorious wave-sword,      (let) the        widely-known man"
1490,heardecg habban·             ic mé mid Hruntinge,have that hard-edged (sword);             I for myself with Hrunting
1491,dóm gewyrce             oþðe mec déað nimeð.',"will gain glory,             unless Death takes me.'"
1492,Æfter þaém wordum             Weder-Géata léod,After these words             the man of the Weder-Geats
1493,efste mid elne·             nalas andsware,hastened with courage;             not in the least for a reply
1494,bídan wolde·             brimwylm onfeng,did he wish to await;             the surging-lake enfolded
1495,"hilderince.             Ðá wæs hwíl dæges,","the battle-warrior.             Then it was a long part of a day,"
1496,aér hé þone grundwong             ongytan mehte,"ere he the bottom             could perceive,"
1497,sóna þæt onfunde             sé ðe flóda begong,"at once she found it out,              she who the floods' expanse,"
1498,heorogífre behéold             hund misséra,"fiercely-ravenous, held             a hundred half-years,"
1499,grim ond graédig             þæt þaér gumena sum,wrathful and greedy              that there one of the humans
1500,ælwihta eard             ufan cunnode·,the realm of strange being             explored from above;
1501,gráp þá tógéanes·             gúðrinc geféng,"then she groped towards,             seized the warrior"
1502,atolan clommum·             nó þý aér in gescód,in terrible clasps;             Not the sooner she crushed inside
1503,hálan líce·             hring útan ymbbearh,"his hale body;             the ring-mail gave him protection from without,"
1504,þæt héo þone fyrdhom             ðurhfón ne mihte,"that she the soldier-garment             could not penetrate,"
1505,locene leoðosyrcan             láþan fingrum.,"the interlocked limb-coat,             with her loathsome fingers."
1506,Bær þá séo brimwylf             þá héo tó botme cóm,"Then the sea-wolf bore,      when she had come        to the bottom,"
1507,hringa þengel             tó hofe sínum,"the lord of those rings             to her court,"
1508,swá hé ne mihte              nó hé þæs módig wæs ,so he could not              no matter how brave he was 
1509,waépna gewealdan             ac hine wundra þæs fela,"wield his weapon,             but him so many bizarre things"
1510,swecte on sunde·             saédéor monig,"smelled in the deep,             many sea-beasts"
1511,hildetúxum             heresyrcan bræc·,"with battle-tusks             tore at his army-mail,"
1512,éhton áglaécan.             Ðá se eorl ongeat,the horrors attacked.             Then the earl saw
1513,þæt hé níðsele             náthwylcum wæs,"that he in a hall of hatred              I know not which  was,"
1514,þaér him naénig wæter             wihte ne sceþede,"where not any water him             oppressed at all,"
1515,né him for hrófsele             hrínan ne mehte,"nor him, due to the the hall's roof,             was not able to reach"
1516,"faérgripe flódes·             fýrléoht geseah,","the sudden onrush of the flood;             he saw firelight,"
1517,blácne léoman             beorhte scínan·,a pale light             shining vividly;
1518,ongeat þá se góda             grundwyrgenne,"then the good man saw             the accursèd one of the deep,"
1519,merewíf mihtig·             mægenraés forgeaf,the mighty mere-wife;             he gave a powerful thrust
1520,hildebille·             hondswenge ne oftéah,"to the battle-bill,      did not withhold        the swing of his hand,"
1521,þæt hire on hafelan             hringmaél ágól,so that on her head             the ring-marked sang out
1522,graédig gúðléoð·             ðá se gist onfand,a greedy war-song;             then the guest discovered
1523,"þæt se beadoléoma             bítan nolde,","that the battle-brand             did not wish to bite,"
1524,aldre sceþðan             ac séo ecg geswác,"to crush life,             rather the edge failed"
1525,ðéodne æt þearfe·             ðolode aér fela,the noble in his need;             it had endured already many
1526,hondgemóta·             helm oft gescær,"hand-to-hand encounters,             often split helm,"
1527,faéges fyrdhrægl·             ðá wæs forma síð,the war-garments of the doomed;             this was the first time
1528,déorum mádme             þæt his dóm álæg.,for the precious treasure             that its glory failed.
1529,"Eft wæs anraéd,             nalas elnes læt","Again was resolute,             not at all slackening in courage,"
1530,maérða gemyndig             maég Hýgláces,mindful of fame             the kinsman of Hygelac
1531,wearp ðá wundenmaél             wraéttum gebunden,"then he threw aside the twisting pattern (sword),             adorned with ornaments,"
1532,yrre óretta             þæt hit on eorðan læg,"the angry warrior,             so that it lay on the earth,"
1533,"stíð ond stýlecg·             strenge getrúwode,","firm and steel-edged;             he trusted to strength,"
1534,mundgripe mægenes·             swá sceal man doön,"his hand-grip of might;             so must a man do,"
1535,þonne hé æt gúðe             gegán þenceð,when he in war             intends to gain
1536,longsumne lof·             ná ymb his líf cearað.,long-lasting praise;             he cares not for his life.
1537,Geféng þá be eaxle              nalas for faéhðe mearn ,Grabbed her then by the        shoulder       not in the least regretting the        feud 
1538,"Gúð-Géata léod,             Grendles módor·","the prince of the War-Geats,             Grendel's mother;"
1539,brægd þá beadwe heard             þá hé gebolgen wæs,"the hard man of conflict then heaved,             now that he was enraged,"
1540,feorhgeníðlan             þæt héo on flet gebéah·,"the deadly foe,             so that she fell to the floor;"
1541,héo him eft hraþe             handlean forgeald,she again him quickly             gave hand-reward
1542,grimman grápum             ond him tógéanes féng·,with wrathful grips             and clutched him against herself;
1543,oferwearp þá wérigmód             wigena strengest,"then, weary in spirit, he stumbled,             the strongest man,"
1544,féþecempa      þæt        hé on fylle wearð·,"warrior on foot,             so that he was in a fall;"
1545,ofsæt þá þone selegyst             ond hyre seax getéah,"then she bestrode the guest in her        hall,      and drew her seax,"
1546,brád ond brúnecg·             wolde hire bearn wrecan,"broad and bright-edged;             she wished to avenge her son,"
1547,ángan eaferan·             him on eaxle læg,only offspring;             on his shoulder lay
1548,bréostnet bróden;             þæt gebearh féore,"woven breast-net;      it protected        life,"
1549,wið ord ond wið ecge             ingang forstód.,against point and against edge             it withstood entry.
1550,Hæfde ðá forsíðod             sunu Ecgþéowes,"Then he would have perished,             the son of Edgetheow,"
1551,under gynne grund             Géata cempa,"under the yawning ground,             the champion of the Geats,"
1552,nemne him heaðobyrne             helpe gefremede,"except that him the war-byrnie             provided help,"
1553,herenet hearde              ond hálig god,firm army-net       and holy God
1554,gewéold wígsigor·             wítig drihten,"controlled the war-victory;             the wise Lord,"
1555,rodera raédend             hit on ryht gescéd,"the Ruler of the heavens,             decided it rightly,"
1556,ýðelíce      syþðan        hé eft ástód.,"easily,             thereupon he stood up again."
1557,Geseah ðá on        searwum     sigeéadig bil,"He saw then among the arms            a victory-blessed bill,"
1558,ealdsweord        eotenisc    ecgum þýhtig,"an old giantish        sword    with firm edges,"
1559,wigena        weorðmynd·    þæt wæs waépna cyst,"an honour of        warriors,    it was the choicest weapon,"
1560,búton hit wæs        máre    ðonne aénig mon óðer,but it was        more    than any other man
1561,tó        beaduláce    ætberan meahte,"to        battle-play    could carry,"
1562,gód ond        geatolíc    gíganta geweorc·,"good and        stately,    the work of giants;"
1563,hé geféng þá        fetelhilt·    freca Scyldinga,"he seized then the ring-hilt,    champion of the        Scyldings"
1564,hréoh ond        heorogrim    hringmaél gebrægd,"wild and furiously        battle-fierce,    he drew the ring-marked (sword)"
1565,aldres        orwéna·    yrringa slóh,"without hope of        life,    angrily struck,"
1566,þæt hire wið        halse    heard grápode·,"so that through her        neck    it clutched hard,"
1567,bánhringas        bræc·    bil eal ðurhwód,broke bone-rings;     the bill passed entirely through
1568,faégne        flaéschoman·    héo on flet        gecrong·,the doomed cloak of flesh;    she fell on the        floor;
1569,sweord wæs        swátig·    secg weorce gefeh.,"the sword was        bloody,    the warrior rejoiced in his        work."
1570,Líxte se        léoma·    léoht inne stód,"The gleam        flashed,     the light stood within,"
1571,efne swá of        hefene    hádre scíneð,even as from        heaven    shines brightly
1572,rodores        candel·    hé æfter recede wlát·,the sky's        candle;    he looked about the hall;
1573,hwearf þá be        wealle·    waépen hafenade,"moved along the        wall,    weapon raised"
1574,heard be        hiltum    Higeláces ðegn,"fierce with        hilts,    Hygelac's thane,"
1575,yrre ond        anraéd·    næs séo ecg fracod,angry and        single-minded;    nor was that edge useless
1576,hilderince    ac hé        hraþe wolde,"to the        battle-man,    but he quickly wished"
1577,Grendle        forgyldan    gúðraésa fela,to repay        Grendel    for the many war-raids
1578,ðára þe hé        geworhte    tó West-Denum,which he had carried        out    on the West-Danes
1579,oftor micle            ðonne on aénne síð,"much more        often    than on a single venture,"
1580,þonne hé        Hróðgáres     heorðgenéatas,when he        Hrothgar's    hearth-companions
1581,slóh on        sweofote·    slaépende fraét,"slaughter in their        slumber,    devoured in their sleep,"
1582,folces        Denigea    fýftýne men,"of the folk of the        Danes    fifteen men,"
1583,ond óðer        swylc    út offerede,and other        such    had he carried out and off
1584,láðlicu        lác·      hé        him þæs léan forgeald,"hideous        haul;    he paid him the reward of that,"
1585,réþe cempa    tó        ðæs þe hé on ræste geseah,"the fierce        fighter,    in that he saw in repose"
1586,gúðwérigne            Grendel licgan,"war-weary    Grendel lying,"
1587,aldorléasne    swá        him aér gescód,"lifeless,     as he        had injured him earlier"
1588,hild æt        Heorote     hrá wíde sprong,"in the conflict at        Heorot     the corpse burst wide open,"
1589,syþðan hé æfter        déaðe     drepe þrówade,"when it after        death    suffered a blow,"
1590,heorosweng        heardne     ond hine þá héafde becearf.,a hard        sword-stroke     and then its head he cut        off.
1591,Sóna þæt        gesáwon     snottre ceorlas,"Suddenly that        saw     the wise fellows,"
1592,þá ðe mid        Hróðgáre    on holm wliton·,"who with        Hrothgar    looked at the lake,"
1593,þæt wæs        ýðgeblond    eal gemenged,that was turmoil of        waves    all stirred up
1594,brim blóde        fáh·    blondenfeaxe,"the water coloured with        blood;    with blended-hair,"
1595,gomele ymb        gódne    ongeador spraécon,"aged, about the good        man,    together they spoke,"
1596,þæt hig þæs        æðelinges     eft ne wéndon·,that they that noble        one    did not expect again
1597,þæt hé        sigehréðig     sécean cóme,"that he, triumphing in        victory,    would come to seek"
1598,maérne        þéoden·    þá ðæs monige gewearð,"the glorious        ruler;    then it many agreed,"
1599,þæt hine séo        brimwylf    ábreoten hæfde.,that the sea-wolf him    had        destroyed.
1600,Ðá cóm nón        dæges·    næs ofgéafon,"Then came then ninth hour of the        day;    they abandoned the cape,"
1601,hwate        Scyldingas·    gewát him hám þonon,"the brave        Scyldings;    he went home hence,"
1602,goldwine        gumena·    gistas sécan,the gold-friend of men;    the guests looked about 
1603,módes séoce    ond        on mere staredon·,"sick at        heart,    and stared into the mere,"
1604,"wíston, ond ne        wéndon    þæt híe heora winedrihten","wished, and did not        expect,    that they their lord and friend"
1605,selfne        gesáwon.    Þá þæt sweord ongan,himself would        see.    Then that sword began
1606,æfter        heaþoswáte    hildegicelum,"caused by the gore of        battle    in icycles of battle,"
1607,wígbil        wanian·    þæt wæs wundra sum,the war-bill to wane;    that was a great        wonder
1608,þæt hit eal        gemealt    íse gelícost,"that it all        melted,    so like ice,"
1609,ðonne forstes        bend    fæder onlaéteð·,"when frost's        bond    the        Father loosens,"
1610,onwindeð        waélrápas    sé geweald hafað,"unwinds water-ropes,    who has        control"
1611,saéla ond        maéla·    þæt is sóð metod.,of times and        seaons;    that is the true Creator.
1612,Ne nóm hé in þaém        wícum     Weder-Géata léod,"He did not take into those        dwelling,    the leader of the Weder-Geats,"
1613,máðmaéhta má    þéh        hé þaér monige geseah,"more        treasures,    though he there saw a great        number,"
1614,búton þone        hafelan    ond þá hilt somod,but that        head    and the hilt as well
1615,since        fáge·    sweord aér gemealt·,"shining with        ornament;    the sword had already melted,"
1616,"forbarn        bródenmaél·    wæs þæt blód tó þæs hát,","burned up the        wavy-patterned (blade);     that blood was so        hot,"
1617,ættren        ellorgaést    sé þaér inne swealt.,the venomous foreign        spirit    who had perished there inside.
1618,Sóna wæs on        sunde    sé þe aér æt sæcce gebád,"Straightaway he was in the        water,    he who survived in strife,"
1619,wíghryre        wráðra    wæter úp þurhdéaf·,"the enemies' fall in        war;    he dove up through the water,"
1620,waéron        ýðgebland    eal gefaélsod,"the turmoil of waves        was    all cleared,"
1621,éacne eardas    þá        se ellorgást,"the vast        regions,    where the alien ghosts"
1622,oflét        lífdagas    ond þás laénan gesceaft·,gave up their        life-days    and this borrowed world;
1623,cóm þá to        lande    lidmanna helm,"he came then to the        land,    the seafarer's leader,"
1624,swíðmód        swymman·    saéláce gefeah,"swimming        stout-hearted;    he rejoiced in the sea-loot,"
1625,"mægenbyrþenne,            þára þe hé him mid hæfde.","the great        burden,    which he had with him."
1626,Éodon him þá        tógéanes·    gode þancodon,"They went towards        him,    thanked God,"
1627,ðrýðlíc þegna        héap     þéodnes gefégon,"the mighty band of        thanes,    they rejoiced for their lord,"
1628,þæs þe hí hyne        gesundne     geséon móston·,that they him        sound    were able to see;
1629,ðá wæs of þaém        hróran    helm ond byrne,then the vigorous man was        from    helm and byrnie
1630,"lungre        álýsed     lagu drúsade,","quickly        loosened     the water grew still,"
1631,wæter under        wolcnum    wældréore fág ,"the lake under the        clouds,    stained with the gore of death "
1632,férdon forð        þonon     féþelástum,they fared forth thence            along foot-paths
1633,ferhþum        fægne·    foldweg maéton,"happy in their        hearts,    traversed the trail over the earth,"
1634,cúþe        straéte·    cyningbalde men,"the familiar        streets;    the men, bold as kings,"
1635,from þaém        holmclife    hafelan baéron,from that        lake-cliff    bore the head
1636,earfoðlíce    heora        aéghwæþrum,"arduously,    for        all of them,"
1637,felamódigra             féower scoldon,full of        spirit     four had to
1638,on þaém        wælstenge    wærcum geferian,on the pole of the        slain    to carry with difficulty
1639,tó þaém        goldsele    Grendles héafod ,to the        gold-hall    Grendel's head 
1640,oþ ðæt        semninga    tó sele cómon,"until        presently    they came to the hall,"
1641,frome        fyrdhwate    féowertýne,brave        army-keen    fourteen
1642,Géata        gongan    gumdryhten mid·,"of the Geats        moving,    with their lord of men,"
1643,módig on        gemonge    meodowongas træd.,"proud in the        throng,    trod on the plain near the        mead-hall."
1644,Ðá cóm in        gaän    ealdor ðegna,"Then came in marching            the lord of the thanes,"
1645,daédcéne        mon    dóme gewurþad,"the deed-bold        man    exalted by glory,"
1646,hæle        hildedéor    Hróðgár grétan·,"the battle-brave        hero,    to greet Hrothgar;"
1647,þá wæs be        feaxe    on flet boren,then it was by the        hair    borne to the floor
1648,"Grendles        héafod    þaér guman druncon,","the head of        Grendel,    where men were drinking,"
1649,"egeslíc for        eorlum    ond þaére idese mid,","dreadful for the        earls,    and the ladies with them,"
1650,wliteséon        wraétlíc·    weras onsáwon.,a wondrous        spectacle;    the men stared.
1651,Béowulf        maþelode    bearn Ecgþéowes:,"Beowulf        spoke,    the son of Edgetheow:"
1652,"'Hwæt, wé þé þás        saélác,    sunu Healfdenes","'Listen, we you these        sea-spoils,    son of Half-Dane,"
1653,"léod        Scyldinga,    lustum bróhton","lord of the        Scyldings,    gladly brought"
1654,tíres tó        tácne    þé þú hér tó lócast.,"as token of        glory,    which you look at here."
1655,Ic þæt        unsófte    ealdre gedígde,"I it not        easily    survived with my life,"
1656,wigge under        wætere·    weorc genéþde,"war under        water,    work risked"
1657,earfoðlíce·     ætrihte wæs,with trouble;    at        once was
1658,gúð        getwaéfed    nymðe mec god scylde·,"the warfare at an        end,    unless God shielded me;"
1659,ne meahte ic æt        hilde    mid Hruntinge,I could not in the        battle    with Hrunting
1660,wiht        gewyrcan    þéah þæt waépen duge,"bring about        anything,    though that weapon is excellent"
1661,ac mé geúðe    ylda        waldend,but to me        granted    men's Ruler
1662,þæt ic on wáge        geseah    wlitig hangian,that I saw on the        wall    hanging fair
1663,ealdsweord        éacen     oftost wísode,a mighty ancient        sword     most often He has guided
1664,winigea        léasum     þæt ic ðý waépne gebraéd·,"the one deprived of        friend     that I the weapon drew,"
1665,ofslóh ðá æt þaére        sæcce     þá mé saél ageald,"slew then in the        strife,    when an opportunity was yielded to        me,"
1666,húses        hyrdas·    þá þæt hildebil,the house's        guardians;    then that battle-bill
1667,forbarn        brogdenmaél    swá þæt blód gesprang,"burned up, wavy-patterned,     as the blood        leapt out,"
1668,hátost        heaþoswáta·    ic þæt hilt þanan,the hottest sweat of        war;    I that hilt thence
1669,féondum        ætferede·    fyrendaéda wræc,"carried back from the        fiends,    foul-deeds avenged,"
1670,déaðcwealm        Denigea    swá hit gedéfe wæs.,"deadly slaughter of        Danes,    as it was fitting."
1671,Ic hit þé þonne        geháte    þæt þú on Heorote móst,"I promise it to you        then,    that you in Heorot may"
1672,sorhléas        swefan    mid þínra secga gedryht,"sleep without        sorrow    with your company of soldiers,"
1673,ond þegna        gehwylc    þínra léoda,"and each        thane    of your nation,"
1674,"duguðe ond iogoþe·             þæt þú him ondraédan ne þearft,","veterans and        youths,    that you for them need not dread,"
1675,"þéoden        Scyldinga,    on þá healfe","chieftain of the        Scyldings,    on that side,"
1676,aldorbealu        eorlum    swá þú aér dydest.',"life-bale for        earls,    as you did before.'"
1677,Ðá wæs        gyldenhilt    gamelum rince,Then was the golden        hilt    to the old king
1678,hárum        hildfruman    on hand gyfen,"to the grey        battle-leader,    given into his hand,"
1679,enta        aérgeweorc·    hit on aéht gehwearf,the ancient work of        giants;    it had passed into the possession
1680,æfter déofla        hryre    Denigea fréän,"after the devils'        fall    of the lord of the Danes,"
1681,wundorsmiþa        geweorc    ond þá þás worold ofgeaf,"the work of        wondersmiths,    and then this world gave up"
1682,gromheort        guma    godes andsaca,"the angry-hearted        creature,    God's adversary"
1683,morðres        scyldig    ond his módor éac,"guilty of        murder,    and his mother also;"
1684,on geweald        gehwearf    woroldcyninga,it passed into the        power    of the earthly kings
1685,ðaém sélestan              be saém twéonum,"the finest        ones    between the two seas,"
1686,ðára þe on        Scedenigge    sceattas daélde.,of those who in Scandinavia     dealt out        riches.
1687,Hróðgár        maðelode·    hylt scéawode,"Hrothgor spoke;    he              examined the hilt,"
1688,ealde        lafe·    on ðaém wæs ór writen,"the old        heirloom,    on which was engraved the origin"
1689,fyrngewinnes    syðþan flód ofslóh,"of ancient        strife,    when the flood slew"
1690,gifen        géotende    gíganta cyn ,"the pouring        ocean,    the race of giants "
1691,frécne        geférdon·    þæt wæs fremde þéod,they fared        terribly;    that was a tribe foreign
1692,écean        dryhtne·    him þæs endeléan,to the eternal        Lord;    them the end-reward
1693,þurh wæteres        wylm    waldend sealde ,through the surging of        waters    the Ruler granted 
1694,swá wæs on ðaém        scennum    scíran goldes,also was on the sword-hilt    of shining gold
1695,þurh        rúnstafas    rihte gemearcod,"in        rune-staves    rightly marked,"
1696,geseted ond        gesaéd    hwám þæt sweord geworht,"it was set down and        said,    for        whom the sword wrought,"
1697,írena        cyst    aérest waére," choicest of irons             had been first,"
1698,wreoþenhilt ond        wyrmfáh·    ðá se wísa spræc,"with a twisted-hilt and        serpent-patterned;    then the wise man        spoke,"
1699,sunu Healfdenes            swígedon ealle:,the son of Half-Dane            all fell silent:
1700,"'Þæt, lá, mæg        secgan     sé þe sóð ond riht","'That, indeed, may        say    he who truth and right"
1701,"fremeð on        folce·    feor eal gemon,","performs among the        folk,    remembers all from far-back,"
1702,eald éðel        weard·    þæt ðes eorl waére,old warden of the        homeland;    that this hero was
1703,geboren        betera·    blaéd is áraéred,born a greater        man;    the fame is established
1704,"geond        wídwegas,    wine mín Béowulf,","throughout the distant        regions,    Beowulf my friend,"
1705,"ðín ofer þéoda        gehwylce·    eal þú hit geþyldum healdest,","over each of the nations, of        you;    all you it with patience hold,"
1706,        mægen mid módes snyttrum·      ic þé sceal míne gelaéstan,        strength with the wisdom of the heart;    to you I shall continue to give my
1707,fréoðe swá wit furðum spraécon·    ðú scealt tó frófre weorþan,"protection, as we spoke of before;    you must be as a comfort"
1708,eal        langtwídig    léodum þínum,"all        long-lasting    to your people,"
1709,hæleðum tó        helpe.    Ne wearð Heremód swá,to heroes a        support.    Heremod was not so
1710,eaforum        Ecgwelan    Ár-Scyldingum·,"to the sons of Edgewela,    to the        Honour-Scyldings;"
1711,ne gewéox hé him tó        willan    ac tó wælfealle,"he grew not to their        pleasure,    but for slaughter"
1712,ond tó        déaðcwalum    Deniga léodum·,and for        annihilation    of the people of the Danes;
1713,bréat        bolgenmód    béodgenéatas,"he felled in a furious        spirit    his companions at table,"
1714,eaxlgesteallan    oþ þæt hé ána hwearf,"shoulder-comrades,    until he alone        passed,"
1715,maére        þéoden    mondréamum from,"famous        king,    from the joys of man"
1716,ðéah þe hine mihtig        god    mægenes wynnum,though him mighty        God    with joys of strength
1717,eafeþum        stépte    ofer ealle men,"powerfully        exalted    over all men,"
1718,forð        gefremede    hwæþere him on ferhþe gréow,further        advanced    yet in his heart grew to him
1719,bréosthord        blódréow·    nallas béagas geaf,the treasure of the breast eager for blood;     not at all did he give rings 
1720,Denum æfter        dóme·    dréamléas gebád,"to Danes for        glory;    he lived joylessly,"
1721,þæt hé þæs        gewinnes    wærc þrówade,"so that he the        strife's    pain suffered,"
1722,léodbealo        longsum.    Ðú þé laér be þon·,"a great evil to the people for a long        time.    You learn by this,"
1723,gumcyste        ongit·    ic þis gid be þé,understand human        virtue;    I this tale for you
1724,áwræc wintrum        fród.    Wundor is tó secganne,"recited, old and wise in        winters.    Wonder is to say"
1725,hú mihtig        god    manna cynne,how mighty God    to        mankind
1726,þurh sídne        sefan    snyttru bryttað,"according to deep understanding            dispenses wisdom,"
1727,eard ond        eorlscipe·    hé áh ealra        geweald·,land and noble        qualities;    he has control of all;
1728,hwílum hé on        lufan    laéteð hworfan,at times He in        delight    lets go
1729,monnes        módgeþonc    maéran cynnes,the heart's thought of some        man    of glorious kin
1730,seleð him on        éþle    eorþan wynne,gives to him in his own        homeland    earthly bliss 
1731,tó        healdanne    hléoburh wera·,"to command    a        stronghold of men,"
1732,gedéð him swá gewealdene            worolde daélas,"makes subject to        him    from the world's portions,"
1733,síde ríce    þæt hé        his selfa ne mæg,"a wide        kingdom,    that he himself can not"
1734,for his        unsnyttrum    ende geþencean·,in his        ignorance    conceive the end (of his rule);
1735,wunað hé on        wiste·    nó hine wiht dweleð,"he lives on in        abundance;    they hinder him not a bit,"
1736,ádl né yldo    né        him inwitsorh,"sickness nor        age,    nor him evil sorrow"
1737,on sefan        sweorceð    né gesacu óhwaér,"darkens in his        soul,    nor strife anywhere"
1738,ecghete éoweð    ac        him eal worold,"sharp-hate        appears,    but to him all the world"
1739,wendeð on        willan·    hé þæt wyrse ne con.,turns on his        pleasure;    he does not know it worse.
1740,Oð þæt him on        innan    oferhygda daél,Until within        him    pride's portion
1741,weaxeð ond        wrídað    þonne se weard swefeð,"grows and        flourishes    then the warder sleeps,"
1742,"sáwele        hyrde·    bið se slaép tó fæst,","the soul's        keeper;    the sleep is too sound,"
1743,"bisgum        gebunden,    bona swíðe néah","bound with        troubles,    the killer is very near,"
1744,sá þe of        flánbogan    fyrenum scéoteð·,he who from his        shaft-bow    foully fires;
1745,þonne bið on        hreþre    under helm drepen,then it is in the        heart    struck beneath the helm
1746,biteran        straéle     him bebeorgan ne con ,by the bitter        dart     he cannot protect himself 
1747,wóm        wundorbebodum    wergan gástes·,from the perversity of strange        biddings    of the wicked spirit;
1748,þinceð him tó        lýtel     þæt hé tó lange héold·,it seems to him too        little    what he rules too long;
1749,gýtsað        gromhýdig·    nallas on gylp seleð,"cruel-mindedly        covets,    he in arrogance never gives"
1750,faédde        béagas    ond hé þá forðgesceaft,"golden        rings,    and he then the future"
1751,"forgyteð ond        forgýmeð    þæs þe him aér god sealde,","forgets and        disregards,    that which God gave him before,"
1752,"wuldres        waldend,    weorðmynda daél·","glory's Ruler,    a        share of honour·"
1753,hit on        endestæf    eft gelimpeð,it in the        end    finally comes to pass
1754,þæt se        líchoma    laéne gedréoseð·,"that the        body,    lent, fails;"
1755,faége        gefealleð·    féhð óþer tó,"fated to death, it        falls;    another body takes up,"
1756,sé þe        unmurnlíce    mádmas daéleþ,"who without        regret    shares out treasure,"
1757,eorles        aérgestréon·    egesan ne gýmeð.,"the earl's ancient        wealth,    and he heeds not fear."
1758,"Bebeorh þé ðone        bealoníð,    Beowulf léofa","Guard yourself against this wicked        strife,    beloved Beowulf,"
1759,"secg        betosta,    ond þé þæt sélre gecéos","finest man,    and        for yourself choose the better,"
1760,"éce        raédas·    oferhýda ne gým,","the eternal        gains;    do not pay heed to pride,"
1761,maére        cempa·    nú is þínes mægnes blaéd,renowned        champion;    now is the glory of your strength
1762,áne        hwíle·    eft sóna bið,for a        while;    presently in turn will be
1763,þæt þec ádl oððe        ecg     eafoþes getwaéfeð,"that you sickness or        edge    will part from strength,"
1764,oððe fýres        feng    oððe flódes wylm,"or grasp of        fire,    or surge of flood,"
1765,oððe gripe        méces    oððe gáres fliht,"or bite of        blade,    or flight of spear,"
1766,oððe atol        yldo·    oððe éagena bearhtm,or repulsive        old-age;    or the brightness of the eyes
1767,forsiteð ond        forsworceð·    semninga bið,weakens and        dims;    very soon will be
1768,"þæt ðec,        dryhtguma,    déað oferswýðeð.","that you,        warrior,    Death overpowers."
1769,Swá ic        Hring-Dena    hund misséra,So I the        Ring-Danes     a        hundred seasons
1770,wéold under        wolcnum    ond hig wigge beléac,"have ruled under the        skies    and in war sheltered them,"
1771,manigum        maégþa    geond þysne middangeard,"from many tribes            throughout this middle-earth,"
1772,æscum ond        ecgum    þæt ic mé aénigne,"from ash-shafts and        sword-edges,    so        that I for myself any,"
1773,under swegles        begong    gesacan ne tealde.,"under the expanse of the        heavens,    adversary I did not        account."
1774,"Hwæt, mé þæs on        éþle    edwendan cwóm,","Listen, to me in the homeland for        that    a reversal came,"
1775,gyrn æfter        gomene    seoþðan Grendel wearð,"sorrow after        joy,    since Grendel became"
1776,ealdgewinna    ingenga min,"an old        contender,    invader of mine,"
1777,ic þaére sócne            singáles wæg,I from that        persecution    endured continually
1778,módceare        micle·    þæs sig metode þanc,"great sorrow of        spirit;    thanks be for that to the Measurer of        Fate,"
1779,écean        dryhtne    þæs ðe ic on aldre gebád,"eternal        Lord,    from that I survived alive,"
1780,þæt ic on þone hafelan            heorodréorigne,so that I on the        head    sword-bloodied
