1 Hwæt! Wé Gárdena     in géardagum
1271 gimfæste gife     ðe him god sealde
1272 ond him tó anwaldan     áre gelýfde
1273 frófre ond fultum·     ðý hé þone féond ofercwóm·
1274 gehnaégde helle gást·     þá hé héan gewát
1275 dréame bedaéled     déaþwíc séön,
1276 mancynnes féond.     Ond his módor þá gýt
1277 gífre ond galgmód     gegán wolde
1278 sorhfulne síð,     sunu déoð wrecan·
1279 cóm þá to Heorote     ðaér Hring-Dene
1280 geond þæt sæld swaéfun·     þá ðaér sóna wearð
1281 edhwyrft eorlum     siþðan inne fealh
1282 Grendles módor·     wæs se gryre laéssa
1283 efne swá micle     swá bið mægþa cræft
1284 wíggryre wífes     bewaépned_men
1285 þonne heoru bunden     hamere geþuren
1286 sweord swáte fáh     swín ofer helme
1287 ecgum dyhttig     andweard scireð.
1288 Þá wæs on healle     heardecg togen
1289 sweord ofer setlum,     sídrand manig
1290 hafen handa fæst·     helm ne gemunde
1291 byrnan síde     þá hine se bróga angeat·
1292 héo wæs on ofste·     wolde út þanon,
1293 féore beorgan     þá héo onfunden wæs·
1294 hraðe héo æþelinga     ánne hæfde
1295 fæste befangen·     þá héo tó fenne gang·
1296 sé wæs Hróþgáre     hæleþa léofost
1297 on gesíðes hád     be saém twéonum
1298 ríce randwiga     þone ðe héo on ræste ábréat
1299 blaédfæstne beorn     —næs Béowulf ðaér
1300 ac wæs óþer in     aér geteohhod
1301 æfter máþðumgife     maérum Géate—
1302 hréam wearð in Heorote·     héo under heolfre genam
1303 cúþe folme·     cearu wæs geníwod,
1304 geworden in wícun·     ne wæs þæt gewrixle til
1305 þæt híe on bá healfa     bicgan scoldon
1306 fréonda féorum·     þá wæs fród cyning
1307 hár hilderinc     on hréonmóde
1308 syðþan hé aldorþegn     unlyfigendne
1309 þone déorestan     déadne wisse.
1310 Hraþe wæs tó búre     Béowulf fetod
1311 sigoréadig secg·     samod aérdæge
1312 éode eorla sum     æþele cempa
1313 self mid gesíðum     þaér se snotera bád
1314 hwæþre him Alfwalda     aéfre wille
1315 æfter wéaspelle     wyrpe gefremman·
1316 gang ðá æfter flóre     fyrdwyrðe man
1317 mid his handscale     —healwudu dynede—
1318 þæt hé þone wísan     wordum hnægde
1319 fréan Ingwina·     frægn gif him waére
1320 æfter néodlaðu     niht getaése.
1321 Hróðgár maþelode     helm Scyldinga:
1322 'Ne frín þú æfter saélum·     sorh is geníwod
1323 Denigea léodum·     déad is Æschere
1324 Yrmenláfes     yldra bróþor
1325 mín rúnwita     ond mín raédbora
1326 eaxlgestealla     ðonne wé on orlege
1327 hafelan weredon     þonne hniton féþan
1328 eoferas cnysedan·     swylc eorl_scolde
1329 wesan @ aérgód     swylc Æschere wæs.
1330 Wearð him on Heorote     tó handbanan
1331 wælgaést waéfre·     ic ne wát hwæþer
1332 atol aése wlanc     eftsíðas téah
1333 fylle gefraégnod·     héo þá faéhðe wræc
1334 þe þú gystran niht     Grendel cwealdest
1335 þurh haéstne hád     heardum clammum
1336 forþan hé tó lange     léode míne
1337 wanode ond wyrde     hé æt wíge gecrang
1338 ealdres scyldig     ond nú óþer cwóm
1339 mihtig mánscaða·     wolde hyre maég wrecan·
1340 gé feor hafað     faéhðe gestaéled
1341 þæs þe þincean mæg     þegne monegum
1342 sé þe æfter sincgyfan     on sefan gréoteþ:
1343 hreþerbealo hearde·     nú séo hand ligeð
1344 sé þe éow wélhwylcra     wilna dohte.
1345 Ic þæt londbúend     léode míne
1346 seleraédende     secgan hýrde
1347 þæt híe gesáwon     swylce twégen
1348 micle mearcstapan     móras healdan,
1349 ellorgaéstas·     ðaéra óðer wæs
1350 þæs þe híe gewislícost     gewitan meahton
1351 idese onlícnæs·     óðer earmsceapen
1352 on weres wæstmum     wraéclástas træd
1353 næfne hé wæs mára     þonne aénig man óðer·
1354 þone on géardagum     Grendel nemdon
1355 foldbúende·     nó híe fæder cunnon·
1356 hwæþer him aénig wæs     aér ácenned
1357 dyrnra gásta.     Híe dýgel lond
1358 warigeað wulfhleoþu     windige næssas
1359 frécne fengelád     ðaér fyrgenstréam
1360 under næssa genipu     niþer gewíteð
1361 flód under foldan·     nis þæt feor heonon
1362 mílgemearces     þæt se mere standeð·
1363 ofer þaém hongiað     hrímge bearwas·
1364 wudu wyrtum fæst     wæter oferhelmað·
1365 þaér mæg nihta gehwaém     níðwundor séon
1366 fýr on flóde·     nó þæs fród leofað
1367 gumena bearna     þæt þone grund wite.
1368 Ðéah þe haéðstapa     hundum geswenced
1369 heorot hornum trum     holtwudu séce
1370 feorran geflýmed·     aér hé feorh seleð
1371 aldor on ófre     aér hé in wille
1372 hafelan helan·     nis þæt héoru stów·
1373 þonon ýðgeblond     úp ástígeð
1374 won tó wolcnum     þonne wind styreþ
1375 láð gewidru     oð_þæt lyft drysmaþ·
1376 roderas réotað.     Nú is se raéd gelang
1377 eft æt þé ánum·     eard gít ne const
1378 frécne stówe     ðaér þú findan miht
1379 felasinnigne secg·     séc gif þú dyrre·
1380 ic þé þá faéhðe     féo léanige
1381 ealdgestréonum     swá ic aér dyde,
1382 wundungolde     gyf þú on weg cymest.'
1383 Béowulf maþelode     bearn Ecgþéowes:
1384 'Ne sorga, snotor guma·     sélre bið aéghwaém
1385 þæt hé his fréond wrece     þonne hé fela murne·
1386 úre aéghwylc sceal     ende gebídan
1387 worolde lífes:     wyrce sé þe móte
1388 dómes aér déaþe·     þæt bið drihtguman,
1389 unlifgendum     æfter sélest.
1390 Árís, ríces weard,     uton hraþe féran
1391 Grendles mágan     gang scéawigan·
1392 ic hit þé geháte:     nó hé on helm losaþ
1393 né on foldan fæþm     né on fyrgenholt
1394 né on gyfenes grund·     gá þaér hé wille·
1395 ðýs dógor þú     geþyld hafa
1396 wéana gehwylces     swá ic þé wéne tó.'
1397 Áhléop ðá se gomela,     gode þancode
1398 mihtigan drihtne     þæs se man gespræc·
1399 þá wæs Hróðgáre     hors gebaéted
1400 wicg wundenfeax·     wísa fengel
1401 geatolíc gende·     gumféþa stóp
1402 lindhæbbendra·     lástas waéron
1403 æfter waldswaþum     wíde gesýne,
1404 gang ofer grundas     @ @ gegnum for
1405 ofer myrcan mór     magoþegna bær
1406 þone sélestan     sáwolléasne
1407 þára þe mid Hróðgáre     hám eahtode.
1408 Oferéode þá     æþelinga bearn
1409 stéap stánhliðo     stíge nearwe
1410 enge ánpaðas     uncúð gelád
1411 neowle næssas     nicorhúsa fela·
1412 hé féara sum     beforan gengde
1413 wísra monna     wong scéawian
1414 oþ_þæt hé faéringa     fyrgenbéamas
1415 ofer hárne stán     hleonian funde
1416 wynléasne wudu·     wæter under stód
1417 dréorig ond gedréfed·     Denum eallum wæs
1418 winum Scyldinga     wærce on móde
1419 tó geþolianne,     ðegne monegum
1420 oncýð eorla gehwaém     syðþan Æscheres
1421 on þám holmclife     hafelan métton.
1422 Flód blóde wéol     —folc tó saégon—
1423 hátan heolfre·     horn stundum song
1424 fúslíc forðléoð·     féþa eal gesæt·
1425 gesáwon ðá æfter wætere     wyrmcynnes fela
1426 sellice saédracan     sund cunnian,
1427 swylce on næshleoðum     nicras licgean
1428 ðá on undernmaél     oft bewitigað
1429 sorhfulne síð     on seglráde,
1430 wyrmas ond wildéor·     híe on weg hruron
1431 bitere ond gebolgne·     bearhtm ongéaton
1432 gúðhorn galan·     sumne Géata léod
1433 of flánbogan     féores getwaéfde
1434 ýðgewinnes     þæt him on aldre stód
1435 herestraél hearda·     hé on holme wæs
1436 sundes þé saénra     ðé hyne swylt fornam·
1437 hræþe wearð on ýðum     mid eoferspréotum
1438 heorohócyhtum     hearde genearwod,
1439 níða genaéged     ond on næs togen
1440 wundorlíc waégbora·     weras scéawedon
1441 gryrelícne gist.     Gyrede hine Béowulf
1442 eorlgewaédum·     nalles for ealdre mearn·
1443 scolde herebyrne     hondum gebróden
1444 síd ond searofáh     sund cunnian
1445 séo ðe báncofan     beorgan cúþe
1446 þæt him hildegráp     hreþre ne mihte
1447 eorres inwitfeng     aldre gesceþðan
1448 ac se hwíta helm     hafelan werede
1449 sé þe meregrundas     mengan scolde,
1450 sécan sundgebland     since geweorðad
1451 befongen fréawrásnum     swá hine fyrndagum
1452 worhte waépna smið     wundrum téode·
1453 besette swínlícum     þæt hine syðþan nó
1454 brond né beadomécas     bítan ne meahton.
1455 Næs þæt þonne maétost     mægenfultuma
1456 þæt him on ðearfe láh     ðyle Hróðgáres
1457 —wæs þaém hæftméce     Hrunting nama—
1458 þæt wæs án foran     ealdgestréona·
1459 ecg wæs íren     átertánum fáh
1460 áhyrded heaþoswáte·     naéfre hit æt hilde ne swác
1461 manna aéngum     þára þe hit mid mundum bewand
1462 sé ðe gryresíðas     gegán dorste
1463 folcstede fára·     næs þæt forma síð
1464 þæt hit ellenweorc     æfnan scolde.
1465 Húru ne gemunde     mago Ecgláfes
1466 eafoþes cræftig     þæt hé aér gespræc
1467 wíne druncen     þá hé þæs waépnes onláh
1468 sélran sweordfrecan     selfa ne dorste
1469 under ýða gewin     aldre genéþan,
1470 drihtscype dréogan·     þaér hé dóme forléas
1471 ellenmaérðum·     ne wæs þaém óðrum swá
1472 syðþan hé hine tó gúðe     gegyred hæfde.
1473 Béowulf maðelode     bearn Ecgþéowes:
1474 'Geþenc nú, se maéra     maga Healfdenes
1475 snottra fengel·     nú ic eom síðes fús·
1476 goldwine gumena,     hwæt wit géo spraécon:
1477 gif ic æt þearfe     þínre scolde
1478 aldre linnan·     þæt ðú mé á waére
1479 forðgewitenum     on fæder staéle·
1480 wes þú mundbora mínum     magoþegnum
1481 hondgesellum     gif mec hild nime
1482 swylce þú ðá mádmas,     þé þú mé sealdest,
1483 Hróðgár léofa,     Higeláce onsend·
1484 mæg þonne on þaém golde ongitan     Géata dryhten,
1485 geséon sunu Hraédles     þonne hé on þæt sinc starað
1486 þæt ic gumcystum     gódne funde
1487 béaga bryttan     bréac þonne móste.
1488 Ond þú Hunferð laét     ealde láfe
1489 wraétlíc waégsweord     wídcúðne man
1490 heardecg habban·     ic mé mid Hruntinge
1491 dóm gewyrce     oþðe mec déað nimeð.'
1492 Æfter þaém wordum     Weder-Géata léod
1493 efste mid elne·     nalas andsware
1494 bídan wolde·     brimwylm onfeng
1495 hilderince.     Ðá wæs hwíl dæges,
1496 aér hé þone grundwong     ongytan mehte
1497 sóna þæt onfunde     sé ðe flóda begong
1498 heorogífre behéold     hund misséra
1499 grim ond graédig     þæt þaér gumena sum
1500 ælwihta eard     ufan cunnode·
1501 gráp þá tógéanes·     gúðrinc geféng
1502 atolan clommum·     nó þý aér in gescód
1503 hálan líce·     hring útan ymbbearh
1504 þæt héo þone fyrdhom     ðurhfón ne mihte
1505 locene leoðosyrcan     láþan fingrum.
1506 Bær þá séo brimwylf     þá héo tó botme cóm
1507 hringa þengel     tó hofe sínum
1508 swá hé ne mihte     —nó hé þæs módig wæs—
1509 waépna gewealdan     ac hine wundra þæs fela
1510 swecte on sunde·     saédéor monig
1511 hildetúxum     heresyrcan bræc·
1512 éhton áglaécan.     Ðá se eorl ongeat
1513 þæt hé @ níðsele     náthwylcum wæs
1514 þaér him naénig wæter     wihte ne sceþede
1515 né him for hrófsele     hrínan ne mehte
1516 faérgripe flódes·     fýrléoht geseah,
1517 blácne léoman     beorhte scínan·
1518 ongeat þá se góda     grundwyrgenne
1519 merewíf mihtig·     mægenraés forgeaf
1520 hildebille·     hondswenge ne oftéah
1521 þæt hire on hafelan     hringmaél ágól
1522 graédig gúðléoð·     ðá se gist onfand
1523 þæt se beadoléoma     bítan nolde,
1524 aldre sceþðan     ac séo ecg geswác
1525 ðéodne æt þearfe·     ðolode aér fela
1526 hondgemóta·     helm oft gescær
1527 faéges fyrdhrægl·     ðá wæs forma síð
1528 déorum mádme     þæt his dóm álæg.
1529 Eft wæs anraéd,     nalas elnes læt
1530 maérða gemyndig     maég Hýgláces
1531 wearp ðá wundenmaél     wraéttum gebunden
1532 yrre óretta     þæt hit on eorðan læg
1533 stíð ond stýlecg·     strenge getrúwode,
1534 mundgripe mægenes·     swá sceal man doön
1535 þonne hé æt gúðe     gegán þenceð
1536 longsumne lof·     ná ymb his líf cearað.
1537 Geféng þá be eaxle     —nalas for faéhðe mearn—
1538 Gúð-Géata léod,     Grendles módor·
1539 brægd þá beadwe heard     þá hé gebolgen wæs
1540 feorhgeníðlan     þæt héo on flet gebéah·
1541 héo him eft hraþe     handlean forgeald
1542 grimman grápum     ond him tógéanes féng·
1543 oferwearp þá wérigmód     wigena strengest
1544 féþecempa     þæt hé on fylle wearð·
1545 ofsæt þá þone selegyst     ond hyre seax getéah
1546 brád ond brúnecg·     wolde hire bearn wrecan
1547 ángan eaferan·     him on eaxle læg
1548 bréostnet bróden;     þæt gebearh féore
1549 wið ord ond wið ecge     ingang forstód.
1550 Hæfde ðá forsíðod     sunu Ecgþéowes
1551 under gynne grund     Géata cempa
1552 nemne him heaðobyrne     helpe gefremede
1553 herenet hearde—     ond hálig god
1554 gewéold wígsigor·     wítig drihten
1555 rodera raédend     hit on ryht gescéd
1556 ýðelíce     syþðan hé eft ástód.
1557 Geseah ðá on searwum     sigeéadig bil
1558 ealdsweord eotenisc     ecgum þýhtig
1559 wigena weorðmynd·     þæt wæs waépna cyst
1560 búton hit wæs máre     ðonne aénig mon óðer
1561 tó beaduláce     ætberan meahte
1562 gód ond geatolíc     gíganta geweorc·
1563 hé geféng þá fetelhilt·     freca Scyldinga
1564 hréoh ond heorogrim     hringmaél gebrægd
1565 aldres orwéna·     yrringa slóh
1566 þæt hire wið halse     heard grápode·
1567 bánhringas bræc·     bil eal ðurhwód
1568 faégne flaéschoman·     héo on flet gecrong·
1569 sweord wæs swátig·     secg weorce gefeh.
1570 Líxte se léoma·     léoht inne stód
1571 efne swá of hefene     hádre scíneð
1572 rodores candel·     hé æfter recede wlát·
1573 hwearf þá be wealle·     waépen hafenade
1574 heard be hiltum     Higeláces ðegn
1575 yrre ond anraéd·     næs séo ecg fracod
1576 hilderince     ac hé hraþe wolde
1577 Grendle forgyldan     gúðraésa fela
1578 ðára þe hé geworhte     tó West-Denum
1579 oftor micle     ðonne on aénne síð
1580 þonne hé Hróðgáres     heorðgenéatas
1581 slóh on sweofote·     slaépende fraét
1582 folces Denigea     fýftýne men
1583 ond óðer swylc     út offerede
1584 láðlicu lác·     hé him þæs léan forgeald
1585 réþe cempa     tó ðæs þe hé on ræste geseah
1586 gúðwérigne     Grendel licgan
1587 aldorléasne     swá him aér gescód
1588 hild æt Heorote     —hrá wíde sprong
1589 syþðan hé æfter déaðe     drepe þrówade
1590 heorosweng heardne—     ond hine þá héafde becearf.
1591 Sóna þæt gesáwon     snottre ceorlas
1592 þá ðe mid Hróðgáre     on holm wliton·
1593 þæt wæs ýðgeblond     eal gemenged
1594 brim blóde fáh·     blondenfeaxe
1595 gomele ymb gódne     ongeador spraécon
1596 þæt hig þæs æðelinges     eft ne wéndon·
1597 þæt hé sigehréðig     sécean cóme
1598 maérne þéoden·     þá ðæs monige gewearð
1599 þæt hine séo brimwylf     ábreoten hæfde.
1600 Ðá cóm nón dæges·     næs ofgéafon
1601 hwate Scyldingas·     gewát him hám þonon
1602 goldwine gumena·     gistas sécan
1603 módes séoce     ond on mere staredon·
1604 wíston, ond ne wéndon     þæt híe heora winedrihten
1605 selfne gesáwon.     Þá þæt sweord ongan
1606 æfter heaþoswáte     hildegicelum
1607 wígbil wanian·     þæt wæs wundra sum
1608 þæt hit eal gemealt     íse gelícost
1609 ðonne forstes bend     fæder onlaéteð·
1610 onwindeð waélrápas     sé geweald hafað
1611 saéla ond maéla·     þæt is sóð metod.
1612 Ne nóm hé in þaém wícum     Weder-Géata léod
1613 máðmaéhta má     þéh hé þaér monige geseah
1614 búton þone hafelan     ond þá hilt somod
1615 since fáge·     sweord aér gemealt·
1616 forbarn bródenmaél·     wæs þæt blód tó þæs hát,
1617 ættren ellorgaést     sé þaér_inne swealt.
1618 Sóna wæs on sunde     sé þe aér æt sæcce gebád
1619 wíghryre wráðra     wæter úp þurhdéaf·
1620 waéron ýðgebland     eal gefaélsod
1621 éacne eardas     þá se ellorgást
1622 oflét lífdagas     ond þás laénan gesceaft·
1623 cóm þá to lande     lidmanna helm
1624 swíðmód swymman·     saéláce gefeah
1625 mægenbyrþenne,     þára þe hé him mid hæfde.
1626 Éodon him þá tógéanes·     gode þancodon
1627 ðrýðlíc þegna héap     þéodnes gefégon
1628 þæs þe hí hyne gesundne     geséon móston·
1629 ðá wæs of þaém hróran     helm ond byrne
1630 lungre álýsed     —lagu drúsade,
1631 wæter under wolcnum     wældréore fág—
1632 férdon forð þonon     féþelástum
1633 ferhþum fægne·     foldweg maéton
1634 cúþe straéte·     cyningbalde men
1635 from þaém holmclife     hafelan baéron
1636 earfoðlíce     heora aéghwæþrum
1637 felamódigra     —féower scoldon
1638 on þaém wælstenge     wærcum geferian
1639 tó þaém goldsele     Grendles héafod—
1640 oþ_ðæt semninga     tó sele cómon
1641 frome fyrdhwate     féowertýne
1642 Géata gongan     gumdryhten mid·
1643 módig on gemonge     meodowongas træd.
1644 Ðá cóm in gaän     ealdor ðegna
1645 daédcéne mon     dóme gewurþad
1646 hæle hildedéor     Hróðgár grétan·
1647 þá wæs be feaxe     on flet boren
1648 Grendles héafod     þaér guman druncon,
1649 egeslíc for eorlum     ond þaére idese mid,
1650 wliteséon wraétlíc·     weras onsáwon.
1651 Béowulf maþelode     bearn Ecgþéowes:
1652 'Hwæt, wé þé þás saélác,     sunu Healfdenes
1653 léod Scyldinga,     lustum bróhton
1654 tíres tó tácne     þé þú hér tó lócast.
1655 Ic þæt unsófte     ealdre gedígde
1656 wigge under wætere·     weorc genéþde
1657 earfoðlíce·     ætrihte wæs
1658 gúð getwaéfed     nymðe mec god scylde·
1659 ne meahte ic æt hilde     mid Hruntinge
1660 wiht gewyrcan     þéah þæt waépen duge
1661 ac mé geúðe     ylda waldend
1662 þæt ic on wáge geseah     wlitig hangian
1663 ealdsweord éacen     —oftost wísode
1664 winigea léasum—     þæt ic ðý waépne gebraéd·
1665 ofslóh ðá æt þaére sæcce     þá mé saél ageald
1666 húses hyrdas·     þá þæt hildebil
1667 forbarn brogdenmaél     swá þæt blód gesprang
1668 hátost heaþoswáta·     ic þæt hilt þanan
1669 féondum ætferede·     fyrendaéda wræc
1670 déaðcwealm Denigea     swá hit gedéfe wæs.
1671 Ic hit þé þonne geháte     þæt þú on Heorote móst
1672 sorhléas swefan     mid þínra secga gedryht
1673 ond þegna gehwylc     þínra léoda
1674 duguðe ond iogoþe·     þæt þú him ondraédan ne þearft,
1675 þéoden Scyldinga,     on þá healfe
1676 aldorbealu eorlum     swá þú aér dydest.'
1677 Ðá wæs gyldenhilt     gamelum rince
1678 hárum hildfruman     on hand gyfen
1679 enta aérgeweorc·     hit on aéht gehwearf
1680 æfter déofla hryre     Denigea fréän
1681 wundorsmiþa geweorc     ond þá þás worold ofgeaf
1682 gromheort guma     godes andsaca
1683 morðres scyldig     ond his módor éac
1684 on geweald gehwearf     woroldcyninga
1685 ðaém sélestan     be saém twéonum
1686 ðára þe on Scedenigge     sceattas daélde.
1687 Hróðgár maðelode·     hylt scéawode
1688 ealde lafe·     on ðaém wæs ór writen
1689 fyrngewinnes     syðþan flód ofslóh
1690 gifen géotende     gíganta cyn—
1691 frécne geférdon·     þæt wæs fremde þéod
1692 écean dryhtne·     him þæs endeléan
1693 þurh wæteres wylm     waldend sealde—
1694 swá wæs on ðaém scennum     scíran goldes
1695 þurh rúnstafas     rihte gemearcod
1696 geseted ond gesaéd     hwám þæt sweord geworht
1697 írena cyst     aérest waére
1698 wreoþenhilt ond wyrmfáh·     ðá se wísa spræc
1699 sunu Healfdenes     swígedon ealle:
1700 'Þæt, lá, mæg secgan     sé þe sóð ond riht
1701 fremeð on folce·     feor eal gemon,
1702 eald éðel_weard·     þæt ðes eorl waére
1703 geboren betera·     blaéd is áraéred
1704 geond wídwegas,     wine mín Béowulf,
1705 ðín ofer þéoda gehwylce·     eal þú hit geþyldum healdest,
1706 mægen mid módes snyttrum·     ic þé sceal míne gelaéstan
1707 fréoðe swá wit furðum spraécon·     ðú scealt tó frófre weorþan
1708 eal langtwídig     léodum þínum
1709 hæleðum tó helpe.     Ne wearð Heremód swá
1710 eaforum Ecgwelan     Ár-Scyldingum·
1711 ne gewéox hé him tó willan     ac tó wælfealle
1712 ond tó déaðcwalum     Deniga léodum·
1713 bréat bolgenmód     béodgenéatas
1714 eaxlgesteallan     oþ_þæt hé ána hwearf
1715 maére þéoden     mondréamum from
1716 ðéah þe hine mihtig god     mægenes wynnum
1717 eafeþum stépte     ofer ealle men
1718 forð gefremede     hwæþere him on ferhþe gréow
1719 bréosthord blódréow·     nallas béagas geaf
1720 Denum æfter dóme·     dréamléas gebád
1721 þæt hé þæs gewinnes     wærc þrówade
1722 léodbealo longsum.     Ðú þé laér be þon·
1723 gumcyste ongit·     ic þis gid be þé
1724 áwræc wintrum fród.     Wundor is tó secganne
1725 hú mihtig god     manna cynne
1726 þurh sídne sefan     snyttru bryttað
1727 eard ond eorlscipe·     hé áh ealra geweald·
1728 hwílum hé on lufan     laéteð hworfan
1729 monnes módgeþonc     maéran cynnes
1730 seleð him on éþle     eorþan wynne
1731 tó healdanne     hléoburh wera·
1732 gedéð him swá gewealdene     worolde daélas
1733 síde ríce     þæt hé his selfa ne mæg
1734 for his unsnyttrum     ende geþencean·
1735 wunað hé on wiste·     nó hine wiht dweleð
1736 ádl né yldo     né him inwitsorh
1737 on sefan sweorceð     né gesacu óhwaér
1738 ecghete éoweð     ac him eal worold
1739 wendeð on willan·     hé þæt wyrse ne con.
1740 Oð_þæt him on innan     oferhygda daél
1741 weaxeð ond wrídað     þonne se weard swefeð
1742 sáwele hyrde·     bið se slaép tó fæst,
1743 bisgum gebunden,     bona swíðe néah
1744 sá þe of flánbogan     fyrenum scéoteð·
1745 þonne bið on hreþre     under helm drepen
1746 biteran straéle     —him bebeorgan ne con—
1747 wóm wundorbebodum     wergan gástes·
1748 þinceð him tó lýtel     þæt hé tó lange héold·
1749 gýtsað gromhýdig·     nallas on gylp seleð
1750 faédde béagas     ond hé þá forðgesceaft
1751 forgyteð ond forgýmeð     þæs þe him aér god sealde,
1752 wuldres waldend,     weorðmynda daél·
1753 hit on endestæf     eft gelimpeð
1754 þæt se líchoma     laéne gedréoseð·
1755 faége gefealleð·     féhð óþer tó
1756 sé þe unmurnlíce     mádmas daéleþ
1757 eorles aérgestréon·     egesan ne gýmeð.
1758 Bebeorh þé ðone bealoníð,     Beowulf léofa
1759 secg betosta,     ond þé þæt sélre gecéos
1760 éce raédas·     oferhýda ne gým,
1761 maére cempa·     nú is þínes mægnes blaéd
1762 áne hwíle·     eft sóna bið
1763 þæt þec ádl oððe ecg     eafoþes getwaéfeð
1764 oððe fýres feng     oððe flódes wylm
1765 oððe gripe méces     oððe gáres fliht
1766 oððe atol yldo·     oððe éagena bearhtm
1767 forsiteð ond forsworceð·     semninga bið
1768 þæt ðec, dryhtguma,     déað oferswýðeð.
1769 Swá ic Hring-Dena     hund misséra
1770 wéold under wolcnum     ond hig wigge beléac
1771 manigum maégþa     geond þysne middangeard
1772 æscum ond ecgum     þæt ic mé aénigne
1773 under swegles begong     gesacan ne tealde.
1774 Hwæt, mé þæs on éþle     edwendan cwóm,
1775 gyrn æfter gomene     seoþðan Grendel wearð
1776 ealdgewinna     ingenga min
1777 ic þaére sócne     singáles wæg
1778 módceare micle·     þæs sig metode þanc
1779 écean dryhtne     þæs ðe ic on aldre gebád
1780 þæt ic on þone hafelan     heorodréorigne
1781 ofer eald_gewin     éagum starige!
1782 Gá nú tó setle·     symbelwynne dréoh
1783 wíggeweorþad·     unc sceal worn fela
1784 máþma gemaénra     siþðan morgen bið.'
1785 Géat wæs glædmód·     géong sóna tó
1786 setles néosan     swá se snottra heht·
1787 þá wæs eft swá aér     ellenrófum
1788 fletsittendum     fægere gereorded
1789 níowan stefne·     nihthelm geswearc
1790 deorc ofer dryhtgumum·     duguð eal árás·
1791 wolde blondenfeax     beddes néosan,
1792 gamela Scylding·     Géat unigmetes wél
1793 rófne randwigan     restan lyste·
1794 sóna him seleþegn     síðes wérgum
1795 feorrancundum     orð wísade
1796 sé for andrysnum     ealle beweotede
1797 þegnes þearfe     swylce þý dógore
1798 heaþolíðende     habban scoldon·
1799 reste hine þá rúmheort·     reced hlíuade
1800 géap ond goldfáh·     gæst inne swæf
1801 oþ_þæt hrefn blaca     heofones wynne
1802 blíðheort bodode.     Ðá cóm beorht scacan
1803 @ @ @     scaþan ónetton·
1804 waéron æþelingas     eft tó léodum
1805 fúse tó farenne·     wolde feor þanon
1806 cuma collenferhð     céoles néosan.
1807 Heht þá se hearda     Hrunting beran
1808 sunu Ecgláfes·     heht his sweord niman
1809 léoflíc íren·     sægde him þæs léanes þanc·
1810 cwæð: hé þone gúðwine     gódne tealde
1811 wígcræftigne·     nales wordum lóg
1812 méces ecge·     þæt wæs módig secg.
1813 Ond þá síðfrome,     searwum gearwe
1814 wígend waéron     éode weorð Denum
1815 æþeling tó yppan     þaér se óþer wæs
1816 hæle hildedéor     Hróðgár grétte.
1817 Béowulf maþelode     bearn Ecgþéowes:
1818 'Nú wé saélíðend     secgan wyllað
1819 feorran cumene     þæt wé fundiaþ
1820 Higelác sécan·     waéron hér tela
1821 willum bewenede·     þú ús wél dohtest.
1822 Gif ic þonne on eorþan     ówihte mæg
1823 þínre módlufan     máran tilian,
1824 gumena dryhten,     ðonne ic gýt dyde,
1825 gúðgeweorca     ic béo gearo sóna
1826 gif ic þæt gefricge     ofer flóda begang
1827 þæt þec ymbsittend     egesan þýwað
1828 swá þec hetende     hwílum dydon
1829 ic ðé þúsenda     þegna bringe
1830 hæleþa tó helpe.     Ic on Higeláce wát,
1831 Géata dryhten     þéah ðe hé geong syÿ
1832 folces hyrde·     þæt hé mec fremman wile
1833 weordum ond worcum     þæt ic þé wél herige
1834 ond þé tó géoce     gárholt bere
1835 mægenes fultum     þaér ðé bið manna þearf.
1836 Gif him þonne Hréþrínc     tó hofum Géata
1837 geþingeð þéodnes bearn     hé mæg þaér fela
1838 fréonda findan·     feorcýþðe béoð
1839 sélran gesóhte     þaém þe him selfa déah.'
1840 Hróðgár maþelode     him on andsware:
1841 'Þé þá wordcwydas     wigtig drihten
1842 on sefan sende·     ne hýrde ic snotorlícor
1843 on swá geongum feore     guman þingian·
1844 þú eart mægenes strang     ond on móde fród
1845 wís wordcwida·     wén ic talige
1846 gif þæt gegangeð     þæt ðe gár nymeð
1847 hild heorugrimme     Hréþles eaferan,
1848 ádl oþðe íren     ealdor ðínne
1849 folces hyrde     ond þú þín feorh hafast
1850 þæt þe Saé-Géatas     sélran næbben
1851 tó gecéosenne     cyning aénigne
1852 hordweard hæleþa     gyf þú healdan wylt
1853 mága ríce·     mé þín módsefa
1854 lícað leng swá wél,     léofa Béowulf·
1855 hafast þú geféred     þæt þám folcum sceal
1856 Géata léodum     ond Gár-Denum
1857 sib gemaénum     ond sacu restan,
1858 inwitníþas,     þé híe aér drugon,
1859 wesan þenden ic wealde     wídan ríces
1860 máþmas gemaéne,     manig óþerne
1861 gódum gegréttan     ofer ganotes bæð·
1862 sceal hringnaca     ofer heáþu bringan
1863 lác ond luftácen·     ic þá léode wát
1864 gé wið féond gé wið fréond     fæste geworhte
1865 aéghwæs untaéle     ealde wísan.'
1866 Ðá gít him eorla hléo     hine gesealde
1867 mago Healfdenes     máþmas twelf·
1868 hét inne mid þaém lácum     léode swaése
1869 sécean on gesyntum,     snúde eft cuman·
1870 gecyste þá     cyning æþelum gód,
1871 þéoden Scyldinga     ðegn betostan
1872 ond be healse genam·     hruron him téaras
1873 blondenfeaxum·     him wæs béga wén
