á|always, ever, forever
inwit-gæst|malicious (stranger or) foe
inwit-hróf|evil ( or enemy's) roof
inwit-net(t)|net of malice
inwit-níð|enmity, hostile act
inwit-scear|malicious slaughter
inwit-searo|malicious intrigue/cunning
inwit-sorh|evil care/sorrow
inwit-þanc|hostile purpose
ge-íode|see ge-gán.
Iofor|see Eofor.
iogoð|see geogoð.
ió-méowle|old woman or wife
íren|iron, sword
íren|of iron
íren-bend|iron band
íren-byrne|iron byrnie
íren-heard|iron-hard
íren-þréat|host having iron armour, armed troop
is|see eom.
ís|ice
ísern-byrne|iron byrnie
ísern-scúr|iron shower (or arrows)
ís-gebind|icy bond
ísig|icy, covered with ice
iú|see geó.
iú-mon(n)|man of old
lá|lo, indeed
lác|gift, offering
ge-lác|motion, play
lácan|move quickly, fly
lád|water-course
ge-lád|difficult passage/path across water liable to be rendered impassable by flooding
láf|what is left as an inheritance, heirloom
ge-lafian|refresh, lave
lagu|sea, lake, water
lagu-cræftig|sea-skilled, experienced as a sailor
lagu-straét|sea-road (-street)
láh|see léon.
land|land
land-búend|land-dweller, earth-dweller
land-fruma|prince of the land, king
land-gemyrce|land-boundary
land-geweorc|land-work
land-waru|people of the land
land-weard|land-guard, coast-guard
lang(e)|see long(e).
ge-lang|at hand, dependent on (æt)
langað|longing
lang-twídig|granted for a long time, lasting
lár|(lore), instruction, counsel, precept, bidding
lást|track, footprint
láð|hateful, grievous, hostile (used as subst.: foe)
láð-bite|grievous/hostile bite, wound
láð-getéona|loathly spoiler, evil-doer
láð-líc|loathly, hideous
laédan|lead, bring
laéfan|leave, leave behind
laén-dagas|transitory (loaned) days
laéne|(loaned) transitory, perishable, perishing
læng|see longe.
laéran|teach
ge-laéran|teach, advise, persuade
laés|see lýt.
laésest, laéssa|see lýtel.
laéstan|serve, stand by
læt|sluggish, slow
laétan|let, allow
léaf|leaf
léafnes-word|word of leave, permission
léan|reward, requital
léan|blame, find fault with
léanian|requite, recompense (somebody for something)
léas|devoid of, without
léas-scéawere|deceitful observer, spy
lég(-)|see líg(-).
leger|lying, place of lying, lair
leger-bed(d)|bed, bed of death, grave
lemman (lemian) |lame, hinder, oppress
leng(e), lengest|see longe.
lenge|belonging, at hand
ge-lenge|belonging to (dat.)
lengra|see long.
léod|man, member of a tribe/nation
léod-bealo|harm to a people, great affliction
léod-gebyrgea|protector of a people, prince
léod-burg|town
léod-cyning|king of a people
léod-fruma|prince of a people
léod-hryre|fall (of a people or) of a prince, national calamity
léod-sceaða|harmer of a people, people's enemy
léod-scipe,|nation, country
léof|dear, beloved
leofað|see libban.
léof-líc|precious, admirable
léogan|lie, belie
ge-léogan|deceive, play false
léoht|light
léoht|light, bright, gleaming
léoma|light, gleam, luminary
leomum|see lim.
léon|lend
leornian|learn, devise
léoð|song, lay
leoðo-cræft|skill of limbs (hands)
leoðo-syrce|(limb-sark), coat of mail
lettan|(let), hinder
libban, lifgan|live
líc|body (generally living)
ge-líc|(a)like
licgan|lie, lie down, lie low, lie dead
ge-licgan|subside
líc-homa|body
lícian|please
líc-sár|bodily pain, wound
líc-syrce|(body-sark), coat of mail
lid-man(n)|seafarer
líf|life
líf-bysig|struggling for life, in torment of death
líf-dæg|???
líf-fréa|lord of life (God)
líf-gedál|parting from life, death
líf-gesceaft|life (as ordered by fate)
lifige, lifigende|see libban.
líf-wraðu|life-protection
líf-wyn(n)|joy of life
líg,|flame, fire
líg-draca|fire-dragon
líg-egesa|fire-terror
lige-torn|pretended injury/insult
ligge|see líg.
líg-ýð|wave of flame
lim|limb, branch (of tree)
limpan|happen, befall
ge-limpan|happen, come to pass, be forthcoming
lind|(linden), shield (made of linden-wood)
lind-gestealla|shield-companion, comrade in battle
lind-hæbbend(e)|shield-bearer (-having), warrior
lind-plega|shield-play, battle
lind-wiga|shield-warrior
linnan|part from, lose
liss|kindness, favour, joy
list|skill, cunning
lídan|go (by water), traverse
líðe|protective
liþend-dæg|seafaring day(s)
líð-waége|cup of strong drink
líxan|shine, glitter, gleam
locen|see lúcan.
lócian|look
lof|praise, glory
lof-daéd|praiseworthy (glorious) deed
lof-georn|eager for glory (fame)
lóg, lógon|see léan.
ge-lóme|frequently
lond(-)|see land(-).
lond-riht|land-right, privileges belonging to the owner of land, domain
long|long
ge-long|see ge-lang.
longe|long
long-gestréon|(long-accumulated,) old treasure
long-sum|long, long-lasting, enduring
losian|(be lost), escape, get away safely
lúcan|lock, intertwine, link
lufen|joy, comfort(?)
lufian|love, treat kindly
luf-tácen|token of love
lufu|love
lungor|swift
lungre|quickly, forthwith, straightway
lust|joy, pleasure
ge-lýfan|believe in, trust
lyfað, lyfde|see libban.
lyft|air, sky
lyft-floga|air-flier
lyft-geswenced|driven by the wind
lyft-wyn(n)|air-joy, joyous air
lÿhð|see léan.
lystan|desire
lýt|little, small number
lýtel|little, small
lýt-hwón|very little, not at all
má|more
mádma(s), -e, -um|see máð(ð)um.
maga|son
magan|can, may
mágas, -a, -um|see maég.
máge (maége)|kinswoman (mother)
mago|son
mago-driht|band of young followers
mago-rinc|young warrior
mago-ðegn|young retainer, young thane
man(n), man-|see mon(n), mon-.
mán|crime, guilt, wickedness
mán-for-daédla|wicked destroyer, doer of evil deeds
manian|admonish, urge
manig|see monig.
man-líce|manfully, nobly
mán-scaða|wicked ravager, wicked criminal
mára|see micel.
maþelian|speak, discourse, make a speech
máðm-aéht|precious property, treasure
máþm-gestréon|treasure
máð(ð)um|precious/valuable thing, treasure
máðþum-fæt|precious vessel
máðþum-gifu|treasure-giving
máððum-sigle|precious jewel
máðþum-sweord|precious sword
máððum-wela|wealth of treasure
maég|kinsman, blood-relative
maég-burg|kinsmen, kindred, clan
mægen|might, strength, power, main
mægen-ágende|strong, might, powerful
mægen-byrþe(n)|mighty (burthen,) burden
mægen-cræft|strength
mægen-ellen|mighty valour
mægen-fultum|powerful help
mægen-raés|mighty impetus
mægen-strengo|great strength
mægen-wudu|(main-wood, mighty wood), mighty spear
mægð|maid(en), girl, woman
maégþ|tribe (orig. aggregate of blood-relatives), nation, people
maég-wine|kinsman and friend
maél|time, suitable time, occasion
maél-cearu|care/sorrow of the time
maél-gesceaft|alloted time, destiny, fate
maénan|speak of, utter, relate, complain of
ge-maénan|mention, complain
ge-maéne|common, in common, mutual, shared
mænigo|see menigeo.
maére|famous, glorious, illustrious
maérðo|fame, glory, glorious deed
mæst|mast
maést|see micel.
maéte|moderate, insignificant, small
mé|see ic.
méagol|earnest, forceful, hearty
mearc|mark, limit
mearcian|mark, make a mark
mearc-stapa|('mark-'haunter), wanderer in the waste borderland
mearh|horse, steed
mearn|see murnan.
mec|see ic.
méce|(long, double-edged) sword
méd|meed, reward
ge-méde|agreement, consent
medo, medu,|mead, (honey wine)
medo-ærn|mead-hall
medo-benc|mead-bench
medo-ful(l)|(filled) mead-cup
medo-heal(l)|mead-hall
medo-stíg|path to the mead-hall
medu-dréam|mead-joy, festivity
medu-seld|mead-house
melda|informer
meltan|melt
ge-meltan|melt
mene|necklace
mengan|mix, mingle, stir up
menigeo|multitude, a great many
meodo-setl|mead-(house-)seat, i.e. hall-seat
meodo-wong|plain near the mead-hall
meodu-benc, -heal(l)|see medo-.
meodu-scenc|mead-vessel, -cup
meoto, ap. of me(o)tu|meditation, contemplation, thought(s)
meotod-|see metod-.
méowle|woman
mercels|mark, aim
mere|mere, lake, pool, sea
mere-déor|sea-beast
mere-fara|seafarer
mere-fisc|sea-fish
mere-grund|bottom ('ground')of a mere
mere-hrægl|sea-garment, sail
mere-líðend(e)|seafarer
mere-straét|sea-path
mere-strengo|strength in the sea
mere-wíf|mere-woman, water-witch
Mere-wíoing|Merovingian (i.e. king of the Franks)
mergen|see morgen.
ge-met|measure, faculty, power
ge-met|fit, proper, meet
metan|measure, traverse
métan|meet, find, come upon
ge-métan|meet, find
ge-méting|meeting, encounter
metod|god, deity (perh. orig. measurer (of fate), governor)
metod-sceaft|decree of fate, death
meðe|weary, exhausted
meþel (mæþel) |council, meeting
meðel-stede|place of assembly, battle-field
meþel-word|formal word
micel|great, large, much
mid|with
middan-geard|middle dwelling (yard), world, earth
midde|in the middle
middel-niht|middle of the night
miht|might, power, strength
mihtig|mighty
milde|generous, magnanimous
míl-gemearc|measure by miles
milts|kindness
mín|mine
missan|miss (a mark)
missére|half-year
mist-hliþ|misty hill, cover of darkness
mistig|misty, dark
mód|mind, spirit, heart
mód-cearu|sorrow of the soul
mód-gehygd|thought
mód-geþonc|thought(s), mind
mód-giómor|sad at heart
módig|high-spirited, courageous, brave
módig-líc|brave, gallant
mód-lufu (-lufe) |heart's love, affection
módor|mother
mód-sefa|mind, spirit, heart, character
mód-þracu|impetuous courage, daring
mód-þrýðo, Þrýðo|probably a description of Offa's queen
mon(n)|man
móna|moon
mon-cyn(n)|mankind
mon-dréam|human pleasures, joys of man
mon-dryhten|(liege) lord
ge-mong|mingling together, throng, troop
monig|(sg.) many a, (pl.) many
mon-ðwaére|courteous, gracious, cordial, agreeable, gentle, kind, humane
mór|moor, marsh, waste land, desert
morgen|morning, morrow
morgen-ceald|morning-cold
morgen-léoht|morning-light, sun
morgen-long|lasting the morning
morgen-swég|morning-cry
morgen-tíd|morning (time)
mór-hop|hidden or secret place/enclosure in a moor
morna|see morgen.
morð-bealu|murder (-bale)
morðor|murder, slaying
morþor-bealo|murder, slaughter
morþor-bed(d)|bed of death (by violence)
morþor-hete|murderous hate/hostility
mótan|may, have opportunity, be allowed
ge-munan|bear in mind, remember, think of, be mindful of
mund|hand
mund-bora|protector, guardian
mund-gripe|hand-grip
murnan|mourn, be sad
múþa|mouth, opening, (door)
múð-bona|one who destroys with the mouth, devourer
ge-mynd|remembrance, memorial
myndgian|(recollect), remind
ge-myndgian|call to mind
ge-myndig|mindful (of), intent (on)
myne|mind, desire
ge-myne|see ge-munan.
myntan|intend, think
myrce|dark, murky
myrð(u)|disturbance, trouble, affliction
ná|see nó.
naca|boat, ship
nacod|naked, bare
náh|see ágan.
nalas, nalæs, nales, nallas, nalles|see nealles.
nam, náman|see niman.
nama|name
nán, pron.|no
nát|see witan.
nát-hwylc|some (one), a certain (one)
næbben|see habban.
Nægling|Béowulf's sword
næfne|see nefne.
naéfre|never
ge-naégan|(approach), assail, attack
nægl|nail
nægl(i)an|nail
naénig, pron.|no-one, none
naére, naéron, næs (=ne wæs)|see eom.
næs|by no means
næs(s)|headland, bluff, ness
næs-hlið|(slope of) headland
ne|not
néah|near, nigh
ge-neahhe|sufficiently, abundantly, frequently
nealles|not at all
néan|from near, near
néar|see néah.
nearo|narrow
nearo|straits, difficulty, distress
nearo-cræft|art of rendering access difficult, (lit., 'narrow-craft')
nearo-fáh|cruelly hostile
nearo-þearf|severe distress
nearwe|narrowly, closely
nearwian|press (hard)
nefa|nephew
néh|see néah.
ge-nehost|see ge-neahhe.
nelle|see willan.
nemnan|name, call
nemne|see nefne.
néod-laðu|desire
néon|see néan.
néosan, néosian|seek out, inspect, go to, visit, attack
néotan|make use of, enjoy
neowol|precipitous, steep
nerian|save, protect
ge-nesan|be saved, survive, get safely through
néðan|venture (on)
ge-néþan|venture (on)
nicor|water-monster, ("nicker" (arch.))
nicor-hús|abode of water-monsters
níd-gripe|forceful/coercive grip
nið-gripe|hostile, evil grip
níehsta|see néah.
nigon|nine
niht|night
niht-bealu|night-evil
niht-helm|cover of night
niht-long|lasting a night
niht-weorc|night-work
niman|take, seize
ge-niman|take, seize, take away
níod|desire, pleasuer
níos(i)an|see néosan.
nioðor|see niþer.
níowe|see níwe.
ge-nip|darkness, mist
nípan|grow dark
nis|see eom.
níð|(ill-will, envy), violence
níð-draca|hostile/malicious dragon
niþer|down(ward)
níð-gæst|malicious (stranger or) for
níþ-geweorc|hostile deed, fight
níþ-grim(m)|grim, cruel
níð-heard|violence-hard(ened), brave in battle(?)
níð-hédig|hostile
níð-sele|hostile/battle hall
niþðas|men
níð-wundor|fearful wonder, portent
níwe|new
(ge-)níwian|renew
níw-tyrwed|new-tarred
nó|not at all, not, never
ge-nóg|enough, abundant, many
nolde|see willan.
nóm|see niman.
nón|ninth hour (=3pm)
norð|north(wards)
Norð-Dene|see Dene.
norþan-wind|north wind
nose|projection, promontory, cape
nóðer|nor, and not
nú|now
nýd|necessity, compulsion, distress
(ge-)nýdan|compel, force
nýd-bád|enforced contribution, toll
nýd-gestealla|comrade in need, i.e. in battle
nýd-wracu|violent persecution, dire distress
nýhsta|see néah.
nyman|see niman.
nyllan|see willan.
nymþe|unless, if--not
nyt(t)|use, office, duty, service
nyt(t)|useful, beneficial
ge-nyttian|use, enjoy
nyðer|see niþer.
of|from (motion, direction)
ófer|bank, shore
ofer|over, above
ofer-cuman|overcome
ofer-éode|see ofer-gán.
ofer-fléon|flee from (acc.)
ofer-flítan|over come (in a contest)
ofer-gán|pass over, traverse, overrun
ofer-helmian|overhang, overshadow
ofer-hígian|overtake, overpower
ofer-hycgan|despire, scorn
ofer-hygd|pride, arrogance
ofer-mægen|superior force
ofer-máð(ð)um|fabuluous treasure
ofer-sécan|overtax, put to too severe a trial
ofer-séon|(oversee), look on
ofer-sittan|abstain from, forego (the use of), 'sit out'
ofer-swimman|swim over, cross over (water)
ofer-swýðan|overpower, overcome
ofer-weorpan|fall (over), stumble (elsewhere trans.)
Offa|king of the (continental) Angles
of-ferian|carry off
of-gyfan|give up, leave
of-laétan|leave, relinquish
ofost|haste, speed
ofost-líce|speedily, in haste
of-scéotan|shoot (dead)
of-sittan|sit upon
of-sléan|slay, kill (off)
oft|oft(en)
of-téon|deny, deprive
of-þyncan|of person & gen. of thing, displease
Óht-(h)ere|son of the Swedish king Ongenþéow
ó-hwaér|anywhere
ombeht|servant, officer
ombiht-þegn|servant, attendant
ómig|rusty
on|on
on-arn|see on-irnan.
on-beran|harm, weaken, diminish
on-bídan|wait
on-bregdan|swing open (trans.)
oncer-|see ancor-.
on-cirran|turn, change (trans.)
on-cnáwan|know, recognise, perceive
on-cweðan|answer
on-cýð(ð)|grief, distress
ond|and
ond-hweorfan|turn (intr.) against
ond-léan|see and-léan.
ond-long|see and-long.
on-draédan|dread, fear
on-drysne|terrible, awful
Onela|king of the Swedes, son of Ongenþéow
ónettan|hasten
on-findan|find, find out, discover, perceive
on-fón|receive, take
on-geador|together
on-géan|opposite
Ongen-þéow|king of the Swedes
on-geomor|very sad, mournful
on-ginnan|begin, undetake
on-gitan, -gytan|perceive, see, hear, understand
on-hréran|stir up, arouse
on-irnan|give way, spring open
on-laétan|loosen, release
on-léon|lend
on-lícnes(s)|likeness
on-lúcan|unlock, disclose
on-médla|arrogance, presumption
on-munan|consider worthy of, consider fit for
on-sacan|resist, contest, fight (dat., against)
on-saéce|see on-sécan.
on-saége|attacking, assailing, fatal(?)
on-saélan|untie, loosen, disclose
on-sécan|exact (something from someone), deprive (somebody of someting)
on-sendan|send, send away
on-sittan|dread
on-sponnan|unfasten
on-springan|spring asunder
on-stellan|institute, bring about
on-swífan|swing, turn (trans.)
on-sýn|see an-sýn.
on-tyhtan|incite, impel
on-ðéon|prosper, thrive
on-wacian|to watch over
on-wacnian|awake (intr.)
on-wadan|enter, take possession of
on-wæcnan, pret. onwóc, VI|awake(n) (intr.)
on-weald|power, possession
on-windan|unwind, loosen
on-wóc|see on-wæcnan.
open|open
openian|open (trans.)
ór|beginning, origin
orc|cup, pitcher
orc-néas|Evil Spirits, (sea?) monsters, zombies(?), draugr(??)
ord|point
ord-fruma|leader, chief
Ord-láf|a Danish warrior
óret-mecg|warrior
óretta|warrior
oreðe(s)|see oruð.
or-leahtre|blameless
or-lege|war, battle, strife
orleg-hwíl|time of war, fight
or-þanc|ingenuity, skill
oruð|breath
or-wearde|without guardian
or-wéna|despairing (of, gen.)
Ós-láf|a Danish warrior
oð|until
oþ-beran|bear (off)
oð-éode|see oð-gán.
óðer|other
oð-ferian|bear away
oð-gán|went away, escaped
oððe|or
oð-wítan|reproach, blame
ówer|see ó-hwaér.
ó-wiht|anything, aught
ge-rád|skilful, apt
raécan|reach (out)
ge-raécan|reach, hit
raéd|advice, counsel, help
raédan|(counsel), provide for, rule, control
raéd-bora|counselor
raédend|ruler (=god)
raés|rush, onslaught, storm
raésan|rush (upon)
ge-raésan|rush (against)
ræst|rest, resting-place, bed
raéswa|(counselor), prince, leader
rand|see rond.
rand-wiga|(shield)-warrior
rásian|explore
raþe|see hraþe.
réafian|rob, plunder, rifle
réc,|smoke
reccan|narrate, tell, unfold
reccan|heed, care (for, gen.)
reced|building, hall
regn-heard|wondrously strong
regnian, rénian|prepare, adorn
ren-weard|guardian of the house
réoc|fierce, savage
réön|see rówan.
reord|speech, voice
reordian|speak, talk
ge-reordian|prepare a feast
réotan|weep, make a noise in grief, roar
rest|see ræst.
restan|rest
réóte|joy, cheefulness
réþe|fierce, cruel, furious
ríce|kingdom, realm, rule
ríce|powerful, mighty, of high rank
ricone (recene)|quickly, at once
rícsian|rule, hold sway
rídan|ride
ge-rídan|ride up to
rídend|rider, horseman
riht|right, what is right
rihte|rightly
rinc|man, warrior
riodan|see rídan.
ríxian|see rícsian.
rodor|sky, heaven
róf|renowned, brave, strong
rond|boss of shield
rond-hæbbend(e)|shield-bearer (-having), warrior
rówan|row, move across water
rúm|room, space
rúm|roomy, spacious, large
rúm-heort|large-hearted, noble-spirited
ge-rúm-líce|at a distance, far away
rún|(rune)
rún-stæf|runic letter
rún-wita|confidant, trusted counselor, knower of runes (/secrets)
ryht|see riht.
(ge-)rýman|clear, vacate, yield
ge-rysne, (-risne)|proper, becoming
sacan|contend, fight
ge-sacan|contend, fight
sacu|strife, fighting
ge-saca|adversary, opponent, foe
ge-sacu|contention, enmity
sadol|saddle
sadol-beorht|saddle-bright
sál|rope
sálum|see saél.
samod|together
sand|sand, shore
sang|song, cry
sár|(sore), pain, wound
sár|sore, grievous, bitter, painful
sáre|sorely, grievously, painfully
sárig|sad, mournful
sárig-ferð|sad at heart
sárig-mód|sad-hearted, low-spirited
sár-líc|painful, sad
sáwl-berend|(soul-bearer), human being
sáwol|soul, spirit, life
sáwol-léas|lifeless
sáwul-dríor|life-blood
saé|sea
saé-bát|sea-boat, ship
sæc(c)|fighting, battle, conflict, quarrel
sæce|see sacu.
saé-cyning|sea-king
sæd|satiated with, having had one's fill of, wearied with
saédan, saéde|see secgan.
saé-déor|sea-beast
saé-draca|sea-serpent
saégan|law low, slay
saé-géap|curved (or spacious) (for use on the sea)
saé-genga|sea-goer, i.e. ship
saégon|see séon.
saé-grund|bottom of the sea
sæl|hall
saél|time, proper time, opportunity, season
saé-lác|sea-booty
saé-lád|sea-journey, voyage
saélan|fasten, moor
ge-saélan|befall, chance, turn out favourably
sæld|hall
saé-líðend|sea-farer
sæltimbred|timbered-hall
saélð|happiness, joy, good fortune
saé-man(n)|sea-man
saé-méþe|sea-weary
saémra|inferior, worse, weaker
saé-næs(s)|(sea-)headland
saéne|slow
saé-rinc|sea-man, -warrior
saé-síð|sea-journey, voyage
saé-weal(l)|sea-wall, shore
saé-wong|plain by the sea
saé-wudu|(sea-wood), ship
saé-wylm|sea-welling, billow, ocean wave, surging of (ocean) water
scacan|hasten, pass, depart
ge-scád|distinction, discrimination
ge-scádan|decide
scadu-helm|cover of shadow (night), darkness
scami(g)an|be ashamed
scaþa|see sceaþa.
ge-scæp-hwíl|fated time (hour)
sceacen, sceaceð|see scacan.
scead|pl. sceadu, shade(s), shadow
sceáden-maél|(ornamented with distinctive or branching patterns, i.e.) damascened/pattern-welded sword
sceadu-genga|walker in shadow
ge-sceaft|(creation, abstr., & concr. collect.), world
scealc|(servant), retainer, warrior, man
ge-sceap|creation, creature, shape, form
sceapen|see scyppan.
scearp|sharp, acute, clever
scéat|corner, district, region, lap
sceat(t)|property, money, treasure
sceaþa|one who does harm, enemy
scéawian|look at, view, examine, see, behold
Scede-land (=Sceden-), n.|see Sceden-íg
Sceden-íg|name of the southernmost part of the Scandinavian peninsula (Skane), applied to the Danish realm
Scéfing|appellation of Scyld ('son of Scéf')
sceft (sceaft)|shaft (of arrow)
scel|see sculan.
scencan|pour out, give to drink
scenn|sword-guard (?), plate of metal on handle of sword(?)
ge-sceód|see ge-sceðþan.
scéotan|shoot
ge-scéotan|(shoot), dart to, hasten to
scéotend|shooter (archer), warrior
scepen|see scyppan.
sceran|(shear), cut through
sceþðan, VI|injure, harm
ge-sceþðan|injure, harm
scildig|see scyldig.
scild-weall|shield-wall, phalanx(?)
scild-wiga|see scyld-.
scile|see sculan.
scínan|shine
scinna|spectre, evil spirit, demon, ("shine")
scionon|see scínan.
scip|ship, boat
ge-scipe|fate
scip-here|ship-army, naval force
scír|bright, resplendent, glorious, clear
scireð|see sceran.
scír-ham|in bright armour
(ge-)scód|see (ge-)sceþðan.
scofen|see scúfan.
scop|poet, singer, bard
(ge-)sc(e)óp|see (ge-)scyppan.
scrífan|decree, adjudge, impose (sentence)
ge-scrífan|decree, assign
scríðan|glide, slink, slither, wander, move, stride
scucca|demon, devil
scúfan|shove, push, move forward
sculan|must, ought, is to
scúr-heard|shower-hard, resilient in the storm of battle
scyld|shield
scyldan|protect, shield
scyld-freca|(shield-)warrior
scyldig|guilty
Scyld|mythical Danish king
Scyldingas|(descendants of Scyld, members of Danish dynasty), Danes
scyle|see sculan.
Scylfingas (Scilf-)|(Swedish dynasty), Swedes
scyndan|hasten
scýne|beautiful, fair
scyp|see scip.
scyppan|create, shape, make
ge-scyppan|create
scyppend|creator (god)
scýran (scíran)|clear up, settle
sealma (selma) |bedstead, bed, couch
sealo-brún|(sallow- or) dark-brown
sealt|salt
searo|contrivance, skill, cleverness, art, cunning
searo-bend|cunningly wrought band/clasp
searo-fáh|cleverly decorated
searo-gim(m)|cleverly-cut gem
searo-grim(m)|fierce in battle
searo-hæbbend(e)|(armour-having), armoured warrior
searo-net(t)|armour-net/battle-net, mail-coat
searo-níð|cunning enmity, treacherous quarrel
searo-þonc|ingenuity, skill, art
searo-geþræc|pile of well-wrought things, precious heap
searo-wundor|curious wonder, wonderful artefact/device
seax|sax (knife), dagger, knife, short sword
sécan|seek
ge-sécan|seek
secce|see sæc(c).
secg|man
secg|(short, thrusting) sword, ("sedge")
Secgan|a Germanic (coastal) tribe
secgan|say, tell
ge-secgan|say, tell
sefa|mind, heart, spirit
séft|see sófte.
ge-ségan(-on)|see ge-séon.
segen|see segn.
segl|sail
segl-rád|sail-road, i.e., sea, lake
segn|banner, standard
sel|see sæl.
sél (noun)|see saél.
sél|comp., better
ge-selda|(one of the same dwelling), companion, comrade
seldan|seldom
seld-guma|hall-man, retainer
sele|hall
sele-dréam|joy of the hall
sele-ful(l)|(filled) hall-cup
sele-gyst|visitor (guest) to a hall
sele-raédend(e)|hall-counselor, -ruler
sele-rest|bed (rest) in a hall
sélest|see gód.
sele-þegn|hall-thane, chamberlain
sele-weard|hall-warden, -guardian
self|self
sélla|see gód.
sellan|give
ge-sellan|give, make a present of
sel-líc, syl-líc|strange, wonderful
sélra|see gód.
semninga|straightaway, at once
sendan|send
séo|see sé.
séoc|sick, ill, weakened
seofon|seven
seolfa|see self.
seomian|rest, lie, remain, hover, hang
séon|look
ge-séon|see, behold, perceive
seonu|sinew
séoðan|seethe, boil, cause to well up, brood over
seoððan|see siððan.
séow(i)an|sew, put together, link
ses(s)|seat
sétan|see sittan.
setl|seat
settan|set
ge-settan|set, establish
sex-ben(n)|dagger-(seax-)wound
sib(b)|kinship, friendship, peace
sib-æðeling|related noble
sibbe-gedriht|band of kinsmen
síd|large, spacious, broad, great
síde|widely
síd-fæþme|roomy
síd-rand|broad shield
síe|see eom.
síe|see sé.
siex-bennum|see sex-ben(n).
sig|see eom.
sígan|sink, fall
ge-sígan|sink, fall
sige-beorn|victorious warrior
sige-drihten|victorious lord
sige-éadig|victory-blest, victorious
Sige-ferð|one of Hnæf's warriors (of the tribe of the Secgean)
sige-folc|victorious/gallant people
sige-hréð|glory of victory
sige-hréþig|victorious, triumphant
sige-hwíl|time of victory, victory
sigel|luminary, sun
sige-léas|without victory, of defeat
Sige-mund|son of Wæls, uncle (and father) of Fitela
sige-róf|victorious, illustrious
Sige-Scyldingas|see Scyldingas.
sige-þéod|victorious/glorious people
sige-waépen|victory-weapon
sigle|jewel, brooch, necklace
sigor|victory
sigor-éadig|victorious
sín|his, her, its, theirs
sinc|treasure, jewels, something precious, ornament
sinc-fæt|precious cup, coastly object
sinc-fág|richly decorated
sinc-gestréon|treasure
sinc-gifa|treasure-giver
sinc-máðþum|treasure, jewel
sinc-þego|receiving of treasure
sin-fréa|great lord
sin-gál|continual
sin-gála, sin-gáles,|continually, always
singan|sing, ring (forth)
sin-here|(huge) sacred grove
sin-niht|perpetual night/darkness
sint|see eom.
sío|see sé.
sioloð|water, sea (?)
siomian|see seomian.
sittan|sit
ge-sittan|sit down (ingress.)
síð|going, journey, voyage
síð|comp., later
ge-selda|(one of the same dwelling), companion, comrade
ge-síð|companion, comrade, follower, retainer
síðast, síðest|latest, last
síð-fæt|adventure, expedition
síð-from|eager to depart
síðian|go, journey
siððan|since
sixtig|sixty
slaép|sleep
slaépan|sleep
sléac|slow, slothful
sléan|strike
ge-sléan|achieve (or bring about) by fighting
slítan|tear, rend, (slit)
slíðe|severe, dangerous, terrible
slíðen|cruel, dire
ge-slyht|battle, conflict
smið|smith, worker of metals
snadan|cut off, prevent?
snel(l)|quick, bold, brave
snel-líc|quick, brave
snot(t)or|wise, prudent, clever
snotor-líce|wisely, prudently
snúde|quickly, straightaway
snyrian|hasten
snyttru|wisdom, discernment, skill
sócn|(seeking), persecution, visitation
sófte|softly, gently, pleasantly
sol|mud, wet sand
somod|see samod.
sóna|immediately, at once, (soon)
sorg(-)|see sorh(-).
sorgian|sorrow, grieve, care
sorh|sorrow, grief, trouble
sorh-cearig|sorrowful, sad
sorh-ful(l)|sorrowful
sorh-léas|free from care, sorrowless
sorh-léoð|song of sorrow, dirge
sorh-wylm|surging (welling) sorrow / care
sóð|true
sóð|truth
sóð-cyning|king of truth, god
sóðe|truly, faithfully
sóð-fæst|true, righteous (cp. Lat. 'iustus')
sóð-líce|truly, verily, faithfully
specan|see sprecan.
spéd|success
spel(l)|tale, story, message
spíwan|spew, vomit
spówan|succeed, speed
spraéc|speech, language
sprecan|speak
ge-sprecan|speak
springan|spring, bound, burst forth, spread
ge-springan|spring forth, arise
stán|stone, rock
stán-beorh|stone-barrow
stán-boga|(stone-bow), stone arch
stán-clif|rocky cliff
standan|stand, continue in a certain state
ge-standan|stand, take up one's stand
stán-fáh|adorned with stones, paved
stán-hlið|rocky hill with a hollow
stapol|post, pillar
starian|gaze, look, (stare)
staél|place, position
staélan|(lay to one's charge), avenge
stéap|steap, high, towering
stearc|stark, stiff, strong, hard
stearc-heort|stout-hearted
stede|stead, place
stefn|stem, prow
stefn|period, time
stefn|voice
stépan|raise, exalt
ge-stépan|advance, support
steppan|step, stride, march
ge-steppan|step, walk
stíg|path
stígan|go, step, go up, mount
ge-stígan|go (up), set out
stille|still, fixed
stincan|to smell (something)
stíð|firm, strong, hard
stíð-mód|stout-hearted, firm
stondan|see standan.
stóp|see steppan.
storm|storm
stów|place
straél|arrow
straét|street
strang|strong
stréam|stream, current (pl.: sea, body of water)
strégan|strew, spread
strengel|chief, ruler
strengest|see strang.
strengo|strength
ge-stréon|wealth, treasure
strong|see strang.
strúdan|plunder, ravage, spoil
ge-strýnan|acquire, gain
stund|time
stýle|steel
stýl-ecg|steel-edged
stýran|(steer), restrain
styrian|stir up
styrman|storm, shout, roar, rage
suhterge-fæderan|nephew (brother's son) and (paternal) uncle
sum|some (one), one, a certain (one)
sund|water, sea, (ocean-)sound, strait
ge-sund|sound, safe, unharmed
sund-gebland|commotion of water, surging water
sund-nyt(t)|use of the water/ocean
sundor-nyt(t)|special service
